cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-surface,stem-color,has-ring,ring-type,habitat,season
8.8,f,s,u,f,a,c,w,4.51,15.39,y,w,f,f,d,a
4.51,x,h,o,t,x,d,n,4.79,6.48,s,o,t,z,l,w
6.94,p,y,b,d,s,f,g,6.85,9.93,t,n,h,e,g,u
3.88,b,l,g,has-ring,d,x,k,4.16,6.53,g,y,r,p,h,s
5.85,o,t,w,w,e,b,y,3.37,8.36,h,e,y,l,p,
4.3,c,e,n,o,f,a,f,5.91,8.2,k,u,c,g,m,
9.65,s,g,e,b,p,3.61,p,19.07,12.69,i,p,e,r,u,
4.55,d,d,y,x,l,2.69,o,8.31,9.77,f,f,g,m,w,
7.36,e,i,r,p,m,k,b,5.77,17.13,l,g,l,y,y,
6.45,n,w,p,g,b,4.8,u,7.13,12.77,d,r,s,h,n,
7.49,w,k,k,y,32.54,e,e,9.14,13.0,x,k,p,o,a,
8.3,k,15.94,l,r,n,y,r,6.56,24.11,12.04,l,x,t,s,
2.74,l,f,i,a,g,class,d,4.33,2.57,w,b,k,ring-type,k,
6.53,19.29,n,h,l,i,s,t,6.37,10.29,a,3.13,z,a,habitat,
3.91,5 f,r,d,i,u,9.01,3.45,9.81,5.55,o,t,f has-ring,d,z,
2.82,t,o,s,c,does-bruise-or-bleed,p,z,4.66,25.88,c,z,d,s,8.09,
7.65,g,a,a,n,t,3.92,5,7.59,15.45,n,a,o,x,17.1,
9.87,z,u,f,z,o,5.22,3.39,10.03,33.03,m,h,n,4,b,
0.74,a,z,2.05,s,c,6.67,season,4.92,0.99,e,d,m,b,t,
7.43,2.85,2.7,season,k,w,4.04,h,6.21,9.49,p,s,i,15,c,
7.5,7 x,does l,c,h,4.64,t,x,5.42,19.02,z,7.33,10.3,u,9.28,
2.39,r,5.07,x,3.43,k,0.73,s,5.81,2.41,6.58,is n,w,n,ring-type,
4.41,u,p,13,e,r,i,4,5.79,11.21,4.34,i,a,w,e,
10.33,3.55,b,7.72,4.42,4.77,3.57,class,9.01,18.77,b,c,,does f,r,
5.74,is s,m,m,2.9,h,24.38,c,5.23,11.25,3.89,x,,3.12,does-bruise-or-bleed,
3.64,y,cap-diameter,z,u,p p,w,m,5.35,3.56,r,e n,,i,f,
3.03,4.22,1.43,6.76,,7.92,h,spacing,2.72,5.7,25.83,1.75,,season,is w,
6.46,3.6,x,7.15,,z,cap-surface,0.92,4.59,10.76,1.59,m,,k,o,
6.2,21.56,7.14,t,,season,l,18.12,7.06,13.55,0.0,33.52,,c,2.94,
3.69,i,c,ring-type,,y,1,l,5.01,29.27,5.97,ring-type,,does-bruise-or-bleed,x,
11.37,6 x,is h,class,,8.79,12.27,does w,7.72,23.92,5.81,2.78,,11,4,
7.8,24.16,does t,12.89,,does None,5.42,a,10.64,23.05,u,spore-print-color,,23.6,is h,
8.69,8,0.85,8.83,,has f,r,7.59,1.51,14.09,season,23.59,,1,5.56,
5.06,m,6.57,24.75,,ring-type,1.6,8.06,3.19,5.85,10.48,8.32,,14,class,
5.81,ring-type,12.79,22.38,,16.33,n,6.19,6.35,23.1,3.68,is w,,2,i,
7.76,10.13,6.45,1.51,,10.85,g,has-ring,8.29,16.74,5.56,26.4,,spore-print-color,10.07,
6.93,is p,4.66,10.1,,20.07,0,4.49,14.0,7.6,4.41,4.75,,class,7.31,
8.63,7.43,23.18,17.94,,2.82,3.81,9.46,7.21,8.04,5.48,7.84,,sp,5.62,
4.31,h,3.06,3.57,,7.86,4.09,5.01,5.96,7.01,5.51,class,,2.87,spore-print-color,
7.1,0.82,16.39,does n,,3.91,1.36,ring-type,4.96,14.93,class,2.75,,8.25,cap-diameter,
7.97,10.46,4.21,4.89,,does,3.24,3.4,4.47,7.98,has-ring,8.49,,,3.11,
3.33,2.77,veil-color,6.2,,10.23,5.55,i,5.57,5.82,13.1,4.49,,,16.46,
1.26,2.94,11.78,21.53,,6.74,5.7,17,4.64,13.64,17.46,1.41,,,7.37,
8.05,12.62,8.1,6.41,,0.92,3.62,10.07,6.78,7.3,5.35,17.45,,,veil-type,
7.21,5.15,has-ring,4.98,,3.45,does f,stem-root,5.55,12.4,7.23,3.53,,,17.38,
4.4,19.04,does h,3.95,,1,6.4,20.6,4.43,8.22,does None,12.92,,,1.66,
6.99,4.97,1.42,does-bruise-or-bleed,,is a,1.88,spore-print-color,5.7,4.6,1.03,3.98,,,6.63,
4.37,49.21,class,6.59,,3.71,55.13,18.03,9.39,1.89,does s,20.07,,,18.35,
5.02,b f,has h,5.25,,50.44,,does-bruise-or-bleed,5.56,13.62,7.45,7.7,,,6.75,
1.87,9.13,does None,veil-color,,11.62,,8.83,5.08,7.7,has h,22.6,,,2.44,
6.66,1.66,10.83,6.9,,has d,,habitat,4.78,24.82,does-bruise-or-bleed,6.31,,,3.68,
3.56,3.37,season,5.41,,1.32,,10.21,5.37,18.37,1.94,6.09,,,2.25,
11.1,7.21,8.96,11.13,,8.47,,4.64,6.27,6.87,49.46,3.56,,,,
11.03,3.25,14.04,3.11,,6.11,,6.4,10.18,12.88,19.35,3.37,,,,
4.0,11.12,5.73,2.57,,2.41,,is y,6.06,23.33,2.68,4.62,,,,
8.37,3 x,is None,17.93,,2.54,,e y,3.85,2.46,4.74,2.54,,,,
8.33,4.3,24.38,2.7,,6.32,,1.91,3.66,14.67,spore-print-color,39.51,,,,
3.12,7.41,2.81,8.57,,19.65,,does n,3.76,15.82,10.93,18.06,,,,
8.96,6.21,0.88,11.92,,15.49,,16.41,10.84,5.46,24.12,4.33,,,,
9.22,8.29,2.11,3.08,,4.01,,6.41,7.88,10.27,13.94,,,,,
5.14,54.78,2.79,2.82,,8.37,,veil-type,3.17,31.65,,,,,,
